language,n,accuracy,precision,recall,f1
ALL,2904,0.7682506887052342,0.7729186357489283,0.7682506887052342,0.7698894582962469
english,1000,0.862,0.8608487843589928,0.862,0.8611212225045501
singlish,49,0.8163265306122449,0.8109487038058466,0.8163265306122449,0.8100028743891922
sinhala,700,0.6371428571428571,0.6518251553099889,0.6371428571428571,0.6388085243671076
tamil,357,0.742296918767507,0.749690378076516,0.742296918767507,0.7451494252873563
tanglish,798,0.7744360902255639,0.7804223392487478,0.7744360902255639,0.7763284547104984
